section,parameter_name,min,max,sysex_addr,cc,nrpn_msb,nrpn_lsb,orientation,label,readLsb,readMsb,offset,modDest,notes,simpleColor,scope,excel
Voice,Polyphony Mode,0,2,32,3,,,0-based,Polyphony Mode,0,7,0,,0: Mono; 1: Mono AG; 2: Poly,greenH,synth,
Voice,Portamento Rate,0,127,33,5,,,0-based,Portamento Rate,0,7,0,,,greenH,synth,
Voice,Pre-Glide,52,76,34,9,,,Centered,Pre-Glide,0,7,0,,,greenH,synth,
Voice,Keyboard Octave,58,69,35,13,,,Centered,Keyboard Octave,0,7,0,,60: -4 Octaves; 64: 0 Octaves; 68: +4 Octaves,greenH,synth,
Oscillator,osc 1 wave,0,29,36,19,,,0-based,wave,0,7,0,,0: sine; 1: triangle; 2: sawtooth; 3: saw 9-1 PW; 4: saw 8-2 PW; 5: saw 7-3 PW; 6: saw 6-4 PW; 7: saw 5-5 PW; 8: saw 4-6 PW; 9: saw 3-7 PW; 10: saw 2-8 PW; 11: saw 1-9 PW; 12: pulse width; 13: square; 14: sine table; 15: analogue pulse; 16: analogue sync; 17: triangle-saw blend; 18: digital nasty 1; 19: digital nasty 2; 20: digital saw-square; 21: digital vocal 1; 22: digital vocal 2; 23: digital vocal 3; 24: digital vocal 4; 25: digital vocal 5; 26: digital vocal 6; 27: random collection 1; 28: random collection 2; 29: random collection 3,yellow,synth,
Oscillator,osc 1 wave interpolate,0,127,37,20,,,0-based,wave interpolate,0,7,0,,,yellow,synth,
Oscillator,osc 1 pulse width index,0,127,38,21,,,Centered,pulse width index,0,7,0,5,,yellow,synth,
Oscillator,osc 1 virtual sync depth,0,127,39,22,,,0-based,virtual sync depth,0,7,0,3,,yellow,synth,
Oscillator,osc 1 density,0,127,40,24,,,0-based,density,0,7,0,,,yellow,synth,
Oscillator,osc 1 density detune,0,127,41,25,,,0-based,density detune,0,7,0,,,yellow,synth,
Oscillator,osc 1 semitones,0,127,42,26,,,Centered,semitones,0,7,0,,,yellow,synth,
Oscillator,osc 1 cents,0,127,43,27,,,Centered,cents,0,7,0,1,,yellow,synth,
Oscillator,osc 1 pitchbend,52,76,44,28,,,Centered,pitchbend,0,7,0,,,yellow,synth,
Oscillator,osc 2 wave,0,29,45,29,,,0-based,wave,0,7,0,,0: sine; 1: triangle; 2: sawtooth; 3: saw 9-1 PW; 4: saw 8-2 PW; 5: saw 7-3 PW; 6: saw 6-4 PW; 7: saw 5-5 PW; 8: saw 4-6 PW; 9: saw 3-7 PW; 10: saw 2-8 PW; 11: saw 1-9 PW; 12: pulse width; 13: square; 14: sine table; 15: analogue pulse; 16: analogue sync; 17: triangle-saw blend; 18: digital nasty 1; 19: digital nasty 2; 20: digital saw-square; 21: digital vocal 1; 22: digital vocal 2; 23: digital vocal 3; 24: digital vocal 4; 25: digital vocal 5; 26: digital vocal 6; 27: random collection 1; 28: random collection 2; 29: random collection 3,amberH,synth,
Oscillator,osc 2 wave interpolate,0,127,46,30,,,0-based,wave interpolate,0,7,0,,,amberH,synth,
Oscillator,osc 2 pulse width index,0,127,47,31,,,Centered,pulse width index,0,7,0,6,,amberH,synth,
Oscillator,osc 2 virtual sync depth,0,127,48,33,,,0-based,virtual sync depth,0,7,0,4,,amberH,synth,
Oscillator,osc 2 density,0,127,49,35,,,0-based,density,0,7,0,,,amberH,synth,
Oscillator,osc 2 density detune,0,127,50,36,,,0-based,density detune,0,7,0,,,amberH,synth,
Oscillator,osc 2 semitones,0,127,51,37,,,Centered,semitones,0,7,0,,,amberH,synth,
Oscillator,osc 2 cents,0,127,52,39,,,Centered,cents,0,7,0,2,,amberH,synth,
Oscillator,osc 2 pitchbend,52,76,53,40,,,Centered,pitchbend,0,7,0,,,amberH,synth,
Mixer,osc 1 level,0,127,54,51,,,0-based,osc 1 level,0,7,0,7,,amberH,synth,
Mixer,osc 2 level,0,127,55,52,,,0-based,osc 2 level,0,7,0,8,,amberH,synth,
Mixer,ring mod level,0,127,56,54,,,0-based,ring mod level,0,7,0,10,,amberH,synth,
Mixer,noise level,0,127,57,56,,,0-based,noise level,0,7,0,9,,amberH,synth,
Mixer,pre FX level,52,82,58,58,,,Centered,pre FX level,0,7,0,,-12 to +18 dB,amberH,synth,
Mixer,post FX level,52,82,59,59,,,Centered,post FX level,0,7,0,,-12 to +18 dB,amberH,synth,
Filter,routing,0,2,60,60,,,0-based,routing,0,7,0,,0: Normal; 1: Osc 1 bypass;  2: Osc 1 +  2 bypass,yellow,synth,
Filter,drive,0,127,61,63,,,0-based,drive,0,7,0,11,,yellow,synth,
Filter,drive type,0,6,62,65,,,0-based,drive type,0,7,0,,0: diode; 1: valve; 2: clipper; 3: cross-over; 4: rectifier; 5: bit reducer; 6: rate reducer,yellow,synth,
Filter,type,0,5,63,68,,,0-based,type,0,7,0,,0: low pass 12dB; 1: low pass 24dB; 2: band pass 6/\6 dB; 3: band pass 12/\12 dB; 4: high pass 12dB; 5: high pass 24dB,yellow,synth,
Filter,frequency,0,127,64,74,,,0-based,frequency,0,7,0,12,,yellow,synth,
Filter,tracking,0,127,65,69,,,0-based,tracking,0,7,0,,,yellow,synth,
Filter,resonance,0,127,66,71,,,0-based,resonance,0,7,0,13,,yellow,synth,
Filter,Q normalise,0,127,67,78,,,0-based,Q normalise,0,7,0,,,yellow,synth,
Filter,env 2 to frequency,0,127,68,79,,,Centered,env 2 to frequency,0,7,0,,,yellow,synth,
Envelope,env 1 velocity,0,127,69,108,,,Centered,env 1 velocity,0,7,0,,,redL,synth,
Envelope,env 1 attack,0,127,70,73,,,0-based,env 1 attack,0,7,0,,,redL,synth,
Envelope,env 1 decay,0,127,71,75,,,0-based,env 1 decay,0,7,0,16,,redL,synth,
Envelope,env 1 sustain,0,127,72,70,,,0-based,env 1 sustain,0,7,0,,,redL,synth,
Envelope,env 1 release,0,127,73,72,,,0-based,env 1 release,0,7,0,,,redL,synth,
Envelope,env 2 velocity,0,127,74,,0,0,Centered,env 2 velocity,0,7,0,,,yellow,synth,
Envelope,env 2 attack,0,127,75,,0,1,0-based,env 2 attack,0,7,0,,,yellow,synth,
Envelope,env 2 decay,0,127,76,,0,2,0-based,env 2 decay,0,7,0,17,,yellow,synth,
Envelope,env 2 sustain,0,127,77,,0,3,0-based,env 2 sustain,0,7,0,,,yellow,synth,
Envelope,env 2 release,0,127,78,,0,4,0-based,env 2 release,0,7,0,,,yellow,synth,
Envelope,env 3 delay,0,127,79,,0,14,0-based,env 3 delay,0,7,0,,,greenL,synth,
Envelope,env 3 attack,0,127,80,,0,15,0-based,env 3 attack,0,7,0,,,greenL,synth,
Envelope,env 3 decay,0,127,81,,0,16,0-based,env 3 decay,0,7,0,,,greenL,synth,
Envelope,env 3 sustain,0,127,82,,0,17,0-based,env 3 sustain,0,7,0,,,greenL,synth,
Envelope,env 3 release,0,127,83,,0,18,0-based,env 3 release,0,7,0,,,greenL,synth,
LFO,lfo 1 waveform,0,37,84,,0,70,0-based,lfo 1 waveform,0,7,0,,0: sine; 1: triangle; 2: sawtooth; 3: square; 4: random S/H; 5: time S/H; 6: piano envelope; 7: sequence 1; 8: sequence 2; 9: sequence 3; 10: sequence 4; 11: sequence 5; 12: sequence 6; 13: sequence 7; 14: alternative 1; 15: alternative 2; 16: alternative 3; 17: alternative 4; 18: alternative 5; 19: alternative 6; 20: alternative 7; 21: alternative 8; 22: chromatic; 23: chromatic 16; 24: major; 25: major 7; 26: minor 7; 27: min arp 1; 28: min arp 2; 29: diminished; 30: dec minor; 31: minor 3rd; 32: pedal; 33: 4ths; 34: 4ths x12; 35: 1625 maj; 36: 1625 min; 37: 2511,greenL,synth,
LFO,lfo 1 phase offset,0,119,85,,0,71,0-based,lfo 1 phase offset,0,7,0,,(0Â° - 357Â°) in steps of 3Â°,greenL,synth,
LFO,lfo 1 slew rate,0,127,86,,0,72,0-based,lfo 1 slew rate,0,7,0,,,greenL,synth,
LFO,lfo 1 delay,0,127,87,,0,74,0-based,lfo 1 delay,0,7,0,,,greenL,synth,
LFO,lfo 1 delay sync,0,35,88,,0,75,0-based,lfo 1 delay sync,0,7,0,,,greenL,synth,
LFO,lfo 1 rate,0,127,89,,0,76,0-based,lfo 1 rate,0,7,0,14,,greenL,synth,
LFO,lfo 1 rate sync,0,35,90,,0,77,0-based,lfo 1 rate sync,0,7,0,,,greenL,synth,
LFO,lfo 1 one shot,0,1,91,,0,122,0-based,lfo 1 one shot,0,0,12,,0: Off; 1: On,greenL,synth,
LFO,lfo 1 key sync,0,1,91,,0,122,0-based,lfo 1 key sync,1,1,14,,0: Off; 1: On,greenL,synth,
LFO,lfo 1 common sync,0,1,91,,0,122,0-based,lfo 1 common sync,2,2,16,,0: Off; 1: On,greenL,synth,
LFO,lfo 1 delay trigger,0,1,91,,0,122,0-based,lfo 1 delay trigger,3,3,18,,0: Off; 1: On,greenL,synth,
LFO,lfo 1 fade mode,0,3,91,,0,123,0-based,lfo 1 fade mode,4,5,0,,0: Fade In; 1: Fade Out; 2: Gate In; 3: Gate Out,greenL,synth,
LFO,lfo 2 waveform,0,37,92,,0,79,0-based,lfo 2 waveform,0,7,0,,0: sine; 1: triangle; 2: sawtooth; 3: square; 4: random S/H; 5: time S/H; 6: piano envelope; 7: sequence 1; 8: sequence 2; 9: sequence 3; 10: sequence 4; 11: sequence 5; 12: sequence 6; 13: sequence 7; 14: alternative 1; 15: alternative 2; 16: alternative 3; 17: alternative 4; 18: alternative 5; 19: alternative 6; 20: alternative 7; 21: alternative 8; 22: chromatic; 23: chromatic 16; 24: major; 25: major 7; 26: minor 7; 27: min arp 1; 28: min arp 2; 29: diminished; 30: dec minor; 31: minor 3rd; 32: pedal; 33: 4ths; 34: 4ths x12; 35: 1625 maj; 36: 1625 min; 37: 2511,redL,synth,
LFO,lfo 2 phase offset,0,119,93,,0,80,0-based,lfo 2 phase offset,0,7,0,,(0Â° - 357Â°) in steps of 3Â°,redL,synth,
LFO,lfo 2 slew rate,0,127,94,,0,81,0-based,lfo 2 slew rate,0,7,0,,,redL,synth,
LFO,lfo 2 delay,0,127,95,,0,83,0-based,lfo 2 delay,0,7,0,,,redL,synth,
LFO,lfo 2 delay sync,0,35,96,,0,84,0-based,lfo 2 delay sync,0,7,0,,,redL,synth,
LFO,lfo 2 rate,0,127,97,,0,85,0-based,lfo 2 rate,0,7,0,15,,redL,synth,
LFO,lfo 2 rate sync,0,35,98,,0,86,0-based,lfo 2 rate sync,0,7,0,,,redL,synth,
LFO,lfo 2 one shot,0,1,99,,0,122,0-based,lfo 2 one shot,0,0,22,,0: Off; 1: On,redL,synth,
LFO,lfo 2 key sync,0,1,99,,0,122,0-based,lfo 2 key sync,1,1,24,,0: Off; 1: On,redL,synth,
LFO,lfo 2 common sync,0,1,99,,0,122,0-based,lfo 2 common sync,2,2,26,,0: Off; 1: On,redL,synth,
LFO,lfo 2 delay trigger,0,1,99,,0,122,0-based,lfo 2 delay trigger,3,3,28,,0: Off; 1: On,redL,synth,
LFO,lfo 2 fade mode,0,3,99,,0,123,0-based,lfo 2 fade mode,4,5,4,,0: Fade In; 1: Fade Out; 2: Gate In; 3: Gate Out,redL,synth,
Effects and EQ,distortion level,0,127,100,91,,,0-based,distortion level,0,7,0,,,redH,synth,
Effects and EQ,chorus level,0,127,102,93,,,0-based,chorus level,0,7,0,,,redL,synth,
Effects and EQ,EQ bass frequency,0,127,105,,0,104,0-based,EQ bass frequency,0,7,0,,,greenH,synth,
Effects and EQ,EQ bass level,0,127,106,,0,105,Centered,EQ bass level,0,7,0,,,greenH,synth,
Effects and EQ,EQ mid frequency,0,127,107,,0,106,0-based,EQ mid frequency,0,7,0,,,amberH,synth,
Effects and EQ,EQ mid level,0,127,108,,0,107,Centered,EQ mid level,0,7,0,,,amberH,synth,
Effects and EQ,EQ treble frequency,0,127,109,,0,108,0-based,EQ treble frequency,0,7,0,,,redH,synth,
Effects and EQ,EQ treble level,0,127,110,,0,109,Centered,EQ treble level,0,7,0,,,redH,synth,
Effects and EQ,distortion type,0,6,116,,1,0,0-based,distortion type,0,7,0,,0: diode; 1: valve; 2: clipper; 3: cross-over; 4: rectify; 5: bit reducer; 6: rate reducer,redH,synth,
Effects and EQ,distortion compensation,0,127,117,,1,1,0-based,distortion compensation,0,7,0,,,redH,synth,
Effects and EQ,chorus type,0,1,118,,1,24,0-based,chorus type,0,7,0,,0: Phaser; 1: Chorus,redL,synth,
Effects and EQ,chorus rate,0,127,119,,1,25,0-based,chorus rate,0,7,0,,,redL,synth,
Effects and EQ,chorus rate sync,0,35,120,,1,26,0-based,chorus rate sync,0,7,0,,,redL,synth,
Effects and EQ,chorus feedback,0,127,121,,1,27,Centered,chorus feedback,0,7,0,,,redL,synth,
Effects and EQ,chorus mod depth,0,127,122,,1,28,0-based,chorus mod depth,0,7,0,,,redL,synth,
Effects and EQ,chorus delay,0,127,123,,1,29,0-based,chorus delay,0,7,0,,,redL,synth,
Mod Matrix,mod matrix 1 source 1,0,12,124,,1,83,0-based,mod matrix 1 source 1,0,7,0,,0: direct; 1: modulation wheel; 2: after touch; 3: expression; 4: velocity; 5: keyboard; 6: LFO 1 +; 7: LFO 1 +/-; 8: LFO 2 +; 9: LFO 2 +/-; 10: env amp; 11: env filter; 12: env 3,,synth,
Mod Matrix,mod matrix 1 source 2,0,12,125,,1,84,0-based,mod matrix 1 source 2,0,7,0,,0: direct; 1: modulation wheel; 2: after touch; 3: expression; 4: velocity; 5: keyboard; 6: LFO 1 +; 7: LFO 1 +/-; 8: LFO 2 +; 9: LFO 2 +/-; 10: env amp; 11: env filter; 12: env 3,,synth,
Mod Matrix,mod matrix 1 depth,0,127,126,,1,86,Centered,mod matrix 1 depth,0,7,0,,,,synth,
Mod Matrix,mod matrix 1 destination,0,17,127,,1,87,0-based,mod matrix 1 destination,0,7,0,,0: osc 1 & 2 pitch; 1: osc 1 pitch; 2: osc 2 pitch; 3: osc 1 v-sync; 4: osc 2 v-sync; 5: osc 1 pulse width / index; 6: osc 2 pulse width / index; 7: osc 1 level; 8: osc 2 level; 9: noise level; 10: ring modulation 1*2 level; 11: filter drive amount; 12: filter frequency; 13: filter resonance; 14: LFO 1 rate; 15: LFO 2 rate; 16: amp envelope decay; 17: filter envelope decay,,synth,
Mod Matrix,mod matrix 2 source 1,0,12,128,,1,88,0-based,mod matrix 2 source 1,0,7,0,,0: direct; 1: modulation wheel; 2: after touch; 3: expression; 4: velocity; 5: keyboard; 6: LFO 1 +; 7: LFO 1 +/-; 8: LFO 2 +; 9: LFO 2 +/-; 10: env amp; 11: env filter; 12: env 3,,synth,
Mod Matrix,mod matrix 2 source 2,0,12,129,,1,89,0-based,mod matrix 2 source 2,0,7,0,,0: direct; 1: modulation wheel; 2: after touch; 3: expression; 4: velocity; 5: keyboard; 6: LFO 1 +; 7: LFO 1 +/-; 8: LFO 2 +; 9: LFO 2 +/-; 10: env amp; 11: env filter; 12: env 3,,synth,
Mod Matrix,mod matrix 2 depth,0,127,130,,1,91,Centered,mod matrix 2 depth,0,7,0,,,,synth,
Mod Matrix,mod matrix 2 destination,0,17,131,,1,92,0-based,mod matrix 2 destination,0,7,0,,0: osc 1 & 2 pitch; 1: osc 1 pitch; 2: osc 2 pitch; 3: osc 1 v-sync; 4: osc 2 v-sync; 5: osc 1 pulse width / index; 6: osc 2 pulse width / index; 7: osc 1 level; 8: osc 2 level; 9: noise level; 10: ring modulation 1*2 level; 11: filter drive amount; 12: filter frequency; 13: filter resonance; 14: LFO 1 rate; 15: LFO 2 rate; 16: amp envelope decay; 17: filter envelope decay,,synth,
Mod Matrix,mod matrix 3 source 1,0,12,132,,1,93,0-based,mod matrix 3 source 1,0,7,0,,0: direct; 1: modulation wheel; 2: after touch; 3: expression; 4: velocity; 5: keyboard; 6: LFO 1 +; 7: LFO 1 +/-; 8: LFO 2 +; 9: LFO 2 +/-; 10: env amp; 11: env filter; 12: env 3,,synth,
Mod Matrix,mod matrix 3 source 2,0,12,133,,1,94,0-based,mod matrix 3 source 2,0,7,0,,0: direct; 1: modulation wheel; 2: after touch; 3: expression; 4: velocity; 5: keyboard; 6: LFO 1 +; 7: LFO 1 +/-; 8: LFO 2 +; 9: LFO 2 +/-; 10: env amp; 11: env filter; 12: env 3,,synth,
Mod Matrix,mod matrix 3 depth,0,127,134,,1,96,Centered,mod matrix 3 depth,0,7,0,,,,synth,
Mod Matrix,mod matrix 3 destination,0,17,135,,1,97,0-based,mod matrix 3 destination,0,7,0,,0: osc 1 & 2 pitch; 1: osc 1 pitch; 2: osc 2 pitch; 3: osc 1 v-sync; 4: osc 2 v-sync; 5: osc 1 pulse width / index; 6: osc 2 pulse width / index; 7: osc 1 level; 8: osc 2 level; 9: noise level; 10: ring modulation 1*2 level; 11: filter drive amount; 12: filter frequency; 13: filter resonance; 14: LFO 1 rate; 15: LFO 2 rate; 16: amp envelope decay; 17: filter envelope decay,,synth,
Mod Matrix,mod matrix 4 source 1,0,12,136,,1,98,0-based,mod matrix 4 source 1,0,7,0,,0: direct; 1: modulation wheel; 2: after touch; 3: expression; 4: velocity; 5: keyboard; 6: LFO 1 +; 7: LFO 1 +/-; 8: LFO 2 +; 9: LFO 2 +/-; 10: env amp; 11: env filter; 12: env 3,,synth,
Mod Matrix,mod matrix 4 source 2,0,12,137,,1,99,0-based,mod matrix 4 source 2,0,7,0,,0: direct; 1: modulation wheel; 2: after touch; 3: expression; 4: velocity; 5: keyboard; 6: LFO 1 +; 7: LFO 1 +/-; 8: LFO 2 +; 9: LFO 2 +/-; 10: env amp; 11: env filter; 12: env 3,,synth,
Mod Matrix,mod matrix 4 depth,0,127,138,,1,101,Centered,mod matrix 4 depth,0,7,0,,,,synth,
Mod Matrix,mod matrix 4 destination,0,17,139,,1,102,0-based,mod matrix 4 destination,0,7,0,,0: osc 1 & 2 pitch; 1: osc 1 pitch; 2: osc 2 pitch; 3: osc 1 v-sync; 4: osc 2 v-sync; 5: osc 1 pulse width / index; 6: osc 2 pulse width / index; 7: osc 1 level; 8: osc 2 level; 9: noise level; 10: ring modulation 1*2 level; 11: filter drive amount; 12: filter frequency; 13: filter resonance; 14: LFO 1 rate; 15: LFO 2 rate; 16: amp envelope decay; 17: filter envelope decay,,synth,
Mod Matrix,mod matrix 5 source 1,0,12,140,,1,103,0-based,mod matrix 5 source 1,0,7,0,,0: direct; 1: modulation wheel; 2: after touch; 3: expression; 4: velocity; 5: keyboard; 6: LFO 1 +; 7: LFO 1 +/-; 8: LFO 2 +; 9: LFO 2 +/-; 10: env amp; 11: env filter; 12: env 3,,synth,
Mod Matrix,mod matrix 5 source 2,0,12,141,,1,104,0-based,mod matrix 5 source 2,0,7,0,,0: direct; 1: modulation wheel; 2: after touch; 3: expression; 4: velocity; 5: keyboard; 6: LFO 1 +; 7: LFO 1 +/-; 8: LFO 2 +; 9: LFO 2 +/-; 10: env amp; 11: env filter; 12: env 3,,synth,
Mod Matrix,mod matrix 5 depth,0,127,142,,1,106,Centered,mod matrix 5 depth,0,7,0,,,,synth,
Mod Matrix,mod matrix 5 destination,0,17,143,,1,107,0-based,mod matrix 5 destination,0,7,0,,0: osc 1 & 2 pitch; 1: osc 1 pitch; 2: osc 2 pitch; 3: osc 1 v-sync; 4: osc 2 v-sync; 5: osc 1 pulse width / index; 6: osc 2 pulse width / index; 7: osc 1 level; 8: osc 2 level; 9: noise level; 10: ring modulation 1*2 level; 11: filter drive amount; 12: filter frequency; 13: filter resonance; 14: LFO 1 rate; 15: LFO 2 rate; 16: amp envelope decay; 17: filter envelope decay,,synth,
Mod Matrix,mod matrix 6 source 1,0,12,144,,1,108,0-based,mod matrix 6 source 1,0,7,0,,0: direct; 1: modulation wheel; 2: after touch; 3: expression; 4: velocity; 5: keyboard; 6: LFO 1 +; 7: LFO 1 +/-; 8: LFO 2 +; 9: LFO 2 +/-; 10: env amp; 11: env filter; 12: env 3,,synth,
Mod Matrix,mod matrix 6 source 2,0,12,145,,1,109,0-based,mod matrix 6 source 2,0,7,0,,0: direct; 1: modulation wheel; 2: after touch; 3: expression; 4: velocity; 5: keyboard; 6: LFO 1 +; 7: LFO 1 +/-; 8: LFO 2 +; 9: LFO 2 +/-; 10: env amp; 11: env filter; 12: env 3,,synth,
Mod Matrix,mod matrix 6 depth,0,127,146,,1,111,Centered,mod matrix 6 depth,0,7,0,,,,synth,
