section,parameter_name,min,max,sysex_addr,cc,nrpn_msb,nrpn_lsb,orientation,label,readLsb,readMsb,offset,modDest,notes,simpleColor,scope,excel
Macro Knob,macro knob 1 depth B,0,127,212,,3,7,Centered,macro knob 1 depth B,0,7,0,,,,synth,
Macro Knob,macro knob 1 destination C,0,70,213,,3,8,0-based,macro knob 1 destination C,0,7,0,,,,synth,
Macro Knob,macro knob 1 start position C,0,127,214,,3,9,0-based,macro knob 1 start position C,0,7,0,,,,synth,
Macro Knob,macro knob 1 end position C,0,127,215,,3,10,0-based,macro knob 1 end position C,0,7,0,,,,synth,
Macro Knob,macro knob 1 depth C,0,127,216,,3,11,Centered,macro knob 1 depth C,0,7,0,,,,synth,
Macro Knob,macro knob 1 destination D,0,70,217,,3,12,0-based,macro knob 1 destination D,0,7,0,,,,synth,
Macro Knob,macro knob 1 start position D,0,127,218,,3,13,0-based,macro knob 1 start position D,0,7,0,,,,synth,
Macro Knob,macro knob 1 end position D,0,127,219,,3,14,0-based,macro knob 1 end position D,0,7,0,,,,synth,
Macro Knob,macro knob 1 depth D,0,127,220,,3,15,Centered,macro knob 1 depth D,0,7,0,,,,synth,
Macro Knob,macro knob 2 position,0,127,221,81,,,0-based,macro knob 2 position,0,7,0,,,,synth,
Macro Knob,macro knob 2 destination A,0,70,222,,3,16,0-based,macro knob 2 destination A,0,7,0,,,,synth,
Macro Knob,macro knob 2 start position A,0,127,223,,3,17,0-based,macro knob 2 start position A,0,7,0,,,,synth,
Macro Knob,macro knob 2 end position A,0,127,224,,3,18,0-based,macro knob 2 end position A,0,7,0,,,,synth,
Macro Knob,macro knob 2 depth A,0,127,225,,3,19,Centered,macro knob 2 depth A,0,7,0,,,,synth,
Macro Knob,macro knob 2 destination B,0,70,226,,3,20,0-based,macro knob 2 destination B,0,7,0,,,,synth,
Macro Knob,macro knob 2 start position B,0,127,227,,3,21,0-based,macro knob 2 start position B,0,7,0,,,,synth,
Macro Knob,macro knob 2 end position B,0,127,228,,3,22,0-based,macro knob 2 end position B,0,7,0,,,,synth,
Macro Knob,macro knob 2 depth B,0,127,229,,3,23,Centered,macro knob 2 depth B,0,7,0,,,,synth,
Macro Knob,macro knob 2 destination C,0,70,230,,3,24,0-based,macro knob 2 destination C,0,7,0,,,,synth,
Macro Knob,macro knob 2 start position C,0,127,231,,3,25,0-based,macro knob 2 start position C,0,7,0,,,,synth,
Macro Knob,macro knob 2 end position C,0,127,232,,3,26,0-based,macro knob 2 end position C,0,7,0,,,,synth,
Macro Knob,macro knob 2 depth C,0,127,233,,3,27,Centered,macro knob 2 depth C,0,7,0,,,,synth,
Macro Knob,macro knob 2 destination D,0,70,234,,3,28,0-based,macro knob 2 destination D,0,7,0,,,,synth,
Macro Knob,macro knob 2 start position D,0,127,235,,3,29,0-based,macro knob 2 start position D,0,7,0,,,,synth,
Macro Knob,macro knob 2 end position D,0,127,236,,3,30,0-based,macro knob 2 end position D,0,7,0,,,,synth,
Macro Knob,macro knob 2 depth D,0,127,237,,3,31,Centered,macro knob 2 depth D,0,7,0,,,,synth,
Macro Knob,macro knob 3 position,0,127,238,82,,,0-based,macro knob 3 position,0,7,0,,,,synth,
Macro Knob,macro knob 3 destination A,0,70,239,,3,32,0-based,macro knob 3 destination A,0,7,0,,,,synth,
Macro Knob,macro knob 3 start position A,0,127,240,,3,33,0-based,macro knob 3 start position A,0,7,0,,,,synth,
Macro Knob,macro knob 3 end position A,0,127,241,,3,34,0-based,macro knob 3 end position A,0,7,0,,,,synth,
Macro Knob,macro knob 3 depth A,0,127,242,,3,35,Centered,macro knob 3 depth A,0,7,0,,,,synth,
Macro Knob,macro knob 3 destination B,0,70,243,,3,36,0-based,macro knob 3 destination B,0,7,0,,,,synth,
Macro Knob,macro knob 3 start position B,0,127,244,,3,37,0-based,macro knob 3 start position B,0,7,0,,,,synth,
Macro Knob,macro knob 3 end position B,0,127,245,,3,38,0-based,macro knob 3 end position B,0,7,0,,,,synth,
Macro Knob,macro knob 3 depth B,0,127,246,,3,39,Centered,macro knob 3 depth B,0,7,0,,,,synth,
Macro Knob,macro knob 3 destination C,0,70,247,,3,40,0-based,macro knob 3 destination C,0,7,0,,,,synth,
Macro Knob,macro knob 3 start position C,0,127,248,,3,41,0-based,macro knob 3 start position C,0,7,0,,,,synth,
Macro Knob,macro knob 3 end position C,0,127,249,,3,42,0-based,macro knob 3 end position C,0,7,0,,,,synth,
Macro Knob,macro knob 3 depth C,0,127,250,,3,43,Centered,macro knob 3 depth C,0,7,0,,,,synth,
Macro Knob,macro knob 3 destination D,0,70,251,,3,44,0-based,macro knob 3 destination D,0,7,0,,,,synth,
Macro Knob,macro knob 3 start position D,0,127,252,,3,45,0-based,macro knob 3 start position D,0,7,0,,,,synth,
Macro Knob,macro knob 3 end position D,0,127,253,,3,46,0-based,macro knob 3 end position D,0,7,0,,,,synth,
Macro Knob,macro knob 3 depth D,0,127,254,,3,47,Centered,macro knob 3 depth D,0,7,0,,,,synth,
Macro Knob,macro knob 4 position,0,127,255,83,,,0-based,macro knob 4 position,0,7,0,,,,synth,
Macro Knob,macro knob 4 destination A,0,70,256,,3,48,0-based,macro knob 4 destination A,0,7,0,,,,synth,
Macro Knob,macro knob 4 start position A,0,127,257,,3,49,0-based,macro knob 4 start position A,0,7,0,,,,synth,
Macro Knob,macro knob 4 end position A,0,127,258,,3,50,0-based,macro knob 4 end position A,0,7,0,,,,synth,
Macro Knob,macro knob 4 depth A,0,127,259,,3,51,Centered,macro knob 4 depth A,0,7,0,,,,synth,
Macro Knob,macro knob 4 destination B,0,70,260,,3,52,0-based,macro knob 4 destination B,0,7,0,,,,synth,
Macro Knob,macro knob 4 start position B,0,127,261,,3,53,0-based,macro knob 4 start position B,0,7,0,,,,synth,
Macro Knob,macro knob 4 end position B,0,127,262,,3,54,0-based,macro knob 4 end position B,0,7,0,,,,synth,
Macro Knob,macro knob 4 depth B,0,127,263,,3,55,Centered,macro knob 4 depth B,0,7,0,,,,synth,
Macro Knob,macro knob 4 destination C,0,70,264,,3,56,0-based,macro knob 4 destination C,0,7,0,,,,synth,
Macro Knob,macro knob 4 start position C,0,127,265,,3,57,0-based,macro knob 4 start position C,0,7,0,,,,synth,
Macro Knob,macro knob 4 end position C,0,127,266,,3,58,0-based,macro knob 4 end position C,0,7,0,,,,synth,
Macro Knob,macro knob 4 depth C,0,127,267,,3,59,Centered,macro knob 4 depth C,0,7,0,,,,synth,
Macro Knob,macro knob 4 destination D,0,70,268,,3,60,0-based,macro knob 4 destination D,0,7,0,,,,synth,
Macro Knob,macro knob 4 start position D,0,127,269,,3,61,0-based,macro knob 4 start position D,0,7,0,,,,synth,
Macro Knob,macro knob 4 end position D,0,127,270,,3,62,0-based,macro knob 4 end position D,0,7,0,,,,synth,
Macro Knob,macro knob 4 depth D,0,127,271,,3,63,Centered,macro knob 4 depth D,0,7,0,,,,synth,
Macro Knob,macro knob 5 position,0,127,272,84,,,0-based,macro knob 5 position,0,7,0,,,,synth,
Macro Knob,macro knob 5 destination A,0,70,273,,3,64,0-based,macro knob 5 destination A,0,7,0,,,,synth,
Macro Knob,macro knob 5 start position A,0,127,274,,3,65,0-based,macro knob 5 start position A,0,7,0,,,,synth,
Macro Knob,macro knob 5 end position A,0,127,275,,3,66,0-based,macro knob 5 end position A,0,7,0,,,,synth,
Macro Knob,macro knob 5 depth A,0,127,276,,3,67,Centered,macro knob 5 depth A,0,7,0,,,,synth,
Macro Knob,macro knob 5 destination B,0,70,277,,3,68,0-based,macro knob 5 destination B,0,7,0,,,,synth,
Macro Knob,macro knob 5 start position B,0,127,278,,3,69,0-based,macro knob 5 start position B,0,7,0,,,,synth,
Macro Knob,macro knob 5 end position B,0,127,279,,3,70,0-based,macro knob 5 end position B,0,7,0,,,,synth,
Macro Knob,macro knob 5 depth B,0,127,280,,3,71,Centered,macro knob 5 depth B,0,7,0,,,,synth,
Macro Knob,macro knob 5 destination C,0,70,281,,3,72,0-based,macro knob 5 destination C,0,7,0,,,,synth,
Macro Knob,macro knob 5 start position C,0,127,282,,3,73,0-based,macro knob 5 start position C,0,7,0,,,,synth,
Macro Knob,macro knob 5 end position C,0,127,283,,3,74,0-based,macro knob 5 end position C,0,7,0,,,,synth,
Macro Knob,macro knob 5 depth C,0,127,284,,3,75,Centered,macro knob 5 depth C,0,7,0,,,,synth,
Macro Knob,macro knob 5 destination D,0,70,285,,3,76,0-based,macro knob 5 destination D,0,7,0,,,,synth,
Macro Knob,macro knob 5 start position D,0,127,286,,3,77,0-based,macro knob 5 start position D,0,7,0,,,,synth,
Macro Knob,macro knob 5 end position D,0,127,287,,3,78,0-based,macro knob 5 end position D,0,7,0,,,,synth,
Macro Knob,macro knob 5 depth D,0,127,288,,3,79,Centered,macro knob 5 depth D,0,7,0,,,,synth,
Macro Knob,macro knob 6 position,0,127,289,85,,,0-based,macro knob 6 position,0,7,0,,,,synth,
Macro Knob,macro knob 6 destination A,0,70,290,,3,80,0-based,macro knob 6 destination A,0,7,0,,,,synth,
Macro Knob,macro knob 6 start position A,0,127,291,,3,81,0-based,macro knob 6 start position A,0,7,0,,,,synth,
Macro Knob,macro knob 6 end position A,0,127,292,,3,82,0-based,macro knob 6 end position A,0,7,0,,,,synth,
Macro Knob,macro knob 6 depth A,0,127,293,,3,83,Centered,macro knob 6 depth A,0,7,0,,,,synth,
Macro Knob,macro knob 6 destination B,0,70,294,,3,84,0-based,macro knob 6 destination B,0,7,0,,,,synth,
Macro Knob,macro knob 6 start position B,0,127,295,,3,85,0-based,macro knob 6 start position B,0,7,0,,,,synth,
Macro Knob,macro knob 6 end position B,0,127,296,,3,86,0-based,macro knob 6 end position B,0,7,0,,,,synth,
Macro Knob,macro knob 6 depth B,0,127,297,,3,87,Centered,macro knob 6 depth B,0,7,0,,,,synth,
Macro Knob,macro knob 6 destination C,0,70,298,,3,88,0-based,macro knob 6 destination C,0,7,0,,,,synth,
Macro Knob,macro knob 6 start position C,0,127,299,,3,89,0-based,macro knob 6 start position C,0,7,0,,,,synth,
Macro Knob,macro knob 6 end position C,0,127,300,,3,90,0-based,macro knob 6 end position C,0,7,0,,,,synth,
Macro Knob,macro knob 6 depth C,0,127,301,,3,91,Centered,macro knob 6 depth C,0,7,0,,,,synth,
Macro Knob,macro knob 6 destination D,0,70,302,,3,92,0-based,macro knob 6 destination D,0,7,0,,,,synth,
Macro Knob,macro knob 6 start position D,0,127,303,,3,93,0-based,macro knob 6 start position D,0,7,0,,,,synth,
Macro Knob,macro knob 6 end position D,0,127,304,,3,94,0-based,macro knob 6 end position D,0,7,0,,,,synth,
Macro Knob,macro knob 6 depth D,0,127,305,,3,95,Centered,macro knob 6 depth D,0,7,0,,,,synth,
Macro Knob,macro knob 7 position,0,127,306,86,,,0-based,macro knob 7 position,0,7,0,,,,synth,
Macro Knob,macro knob 7 destination A,0,70,307,,3,96,0-based,macro knob 7 destination A,0,7,0,,,,synth,
Macro Knob,macro knob 7 start position A,0,127,308,,3,97,0-based,macro knob 7 start position A,0,7,0,,,,synth,
Macro Knob,macro knob 7 end position A,0,127,309,,3,98,0-based,macro knob 7 end position A,0,7,0,,,,synth,
Macro Knob,macro knob 7 depth A,0,127,310,,3,99,Centered,macro knob 7 depth A,0,7,0,,,,synth,
Macro Knob,macro knob 7 destination B,0,70,311,,3,100,0-based,macro knob 7 destination B,0,7,0,,,,synth,
Macro Knob,macro knob 7 start position B,0,127,312,,3,101,0-based,macro knob 7 start position B,0,7,0,,,,synth,
Macro Knob,macro knob 7 end position B,0,127,313,,3,102,0-based,macro knob 7 end position B,0,7,0,,,,synth,
Macro Knob,macro knob 7 depth B,0,127,314,,3,103,Centered,macro knob 7 depth B,0,7,0,,,,synth,
Macro Knob,macro knob 7 destination C,0,70,315,,3,104,0-based,macro knob 7 destination C,0,7,0,,,,synth,
Macro Knob,macro knob 7 start position C,0,127,316,,3,105,0-based,macro knob 7 start position C,0,7,0,,,,synth,
Macro Knob,macro knob 7 end position C,0,127,317,,3,106,0-based,macro knob 7 end position C,0,7,0,,,,synth,
Macro Knob,macro knob 7 depth C,0,127,318,,3,107,Centered,macro knob 7 depth C,0,7,0,,,,synth,
Macro Knob,macro knob 7 destination D,0,70,319,,3,108,0-based,macro knob 7 destination D,0,7,0,,,,synth,
Macro Knob,macro knob 7 start position D,0,127,320,,3,109,0-based,macro knob 7 start position D,0,7,0,,,,synth,
Macro Knob,macro knob 7 end position D,0,127,321,,3,110,0-based,macro knob 7 end position D,0,7,0,,,,synth,
Macro Knob,macro knob 7 depth D,0,127,322,,3,111,Centered,macro knob 7 depth D,0,7,0,,,,synth,
Macro Knob,macro knob 8 position,0,127,323,87,,,0-based,macro knob 8 position,0,7,0,,,,synth,
Macro Knob,macro knob 8 destination A,0,70,324,,3,112,0-based,macro knob 8 destination A,0,7,0,,,,synth,
Macro Knob,macro knob 8 start position A,0,127,325,,3,113,0-based,macro knob 8 start position A,0,7,0,,,,synth,
Macro Knob,macro knob 8 end position A,0,127,326,,3,114,0-based,macro knob 8 end position A,0,7,0,,,,synth,
Macro Knob,macro knob 8 depth A,0,127,327,,3,115,Centered,macro knob 8 depth A,0,7,0,,,,synth,
Macro Knob,macro knob 8 destination B,0,70,328,,3,116,0-based,macro knob 8 destination B,0,7,0,,,,synth,
Macro Knob,macro knob 8 start position B,0,127,329,,3,117,0-based,macro knob 8 start position B,0,7,0,,,,synth,
Macro Knob,macro knob 8 end position B,0,127,330,,3,118,0-based,macro knob 8 end position B,0,7,0,,,,synth,
Macro Knob,macro knob 8 depth B,0,127,331,,3,119,Centered,macro knob 8 depth B,0,7,0,,,,synth,
Macro Knob,macro knob 8 destination C,0,70,332,,3,120,0-based,macro knob 8 destination C,0,7,0,,,,synth,
Macro Knob,macro knob 8 start position C,0,127,333,,3,121,0-based,macro knob 8 start position C,0,7,0,,,,synth,
Macro Knob,macro knob 8 end position C,0,127,334,,3,122,0-based,macro knob 8 end position C,0,7,0,,,,synth,
Macro Knob,macro knob 8 depth C,0,127,335,,3,123,Centered,macro knob 8 depth C,0,7,0,,,,synth,
Macro Knob,macro knob 8 destination D,0,70,336,,3,124,0-based,macro knob 8 destination D,0,7,0,,,,synth,
Macro Knob,macro knob 8 start position D,0,127,337,,3,125,0-based,macro knob 8 start position D,0,7,0,,,,synth,
Macro Knob,macro knob 8 end position D,0,127,338,,3,126,0-based,macro knob 8 end position D,0,7,0,,,,synth,
Macro Knob,macro knob 8 depth D,0,127,339,,3,127,Centered,macro knob 8 depth D,0,7,0,,,,synth,
Drum 1,patch,0,63,,8,,,0-based,D1  patch,,,,,,,drum,D1 
Drum 1,level,0,127,,12,,,0-based,D1  level,,,,,,,drum,D1 
Drum 1,pitch,0,127,,14,,,Centered,D1  pitch,,,,,,,drum,D1 
Drum 1,distortion,0,127,,15,,,0-based,D1  distortion,,,,,,,drum,D1 
Drum 1,EQ,0,127,,16,,,Centered,D1  EQ,,,,,,,drum,D1 
Drum 1,pan,0,127,,17,,,Centered,D1  pan,,,,,,,drum,D1 
Drum 2,patch,0,63,,18,,,0-based,D2 patch,,,,,,,drum,D2
Drum 2,level,0,127,,23,,,0-based,D2 level,,,,,,,drum,D2
Drum 2,pitch,0,127,,34,,,Centered,D2 pitch,,,,,,,drum,D2
Drum 2,distortion,0,127,,40,,,0-based,D2 distortion,,,,,,,drum,D2
Drum 2,EQ,0,127,,42,,,Centered,D2 EQ,,,,,,,drum,D2
Drum 2,pan,0,127,,43,,,Centered,D2 pan,,,,,,,drum,D2
Drum 3,patch,0,63,,44,,,0-based,D3 patch,,,,,,,drum,D3
Drum 3,level,0,127,,45,,,0-based,D3 level,,,,,,,drum,D3
Drum 3,pitch,0,127,,46,,,Centered,D3 pitch,,,,,,,drum,D3
Drum 3,distortion,0,127,,47,,,0-based,D3 distortion,,,,,,,drum,D3
Drum 3,EQ,0,127,,48,,,Centered,D3 EQ,,,,,,,drum,D3
Drum 3,pan,0,127,,49,,,Centered,D3 pan,,,,,,,drum,D3
Drum 4,patch,0,63,,50,,,0-based,D4 patch,,,,,,,drum,D4
Drum 4,level,0,127,,53,,,0-based,D4 level,,,,,,,drum,D4
Drum 4,pitch,0,127,,55,,,Centered,D4 pitch,,,,,,,drum,D4
Drum 4,distortion,0,127,,57,,,0-based,D4 distortion,,,,,,,drum,D4
Drum 4,EQ,0,127,,61,,,Centered,D4 EQ,,,,,,,drum,D4
Drum 4,pan,0,127,,76,,,Centered,D4 pan,,,,,,,drum,D4
reverb,S1 Send,0,127,,111,,,0-based,S1 Send,,,,,,,session,S1
reverb,S2 Send,0,127,,111,,,0-based,S2 Send,,,,,,,session,S2
reverb,D1 Send,0,127,,111,,,0-based,D1 Send,,,,,,,session,D1
reverb,D2 Send,0,127,,111,,,0-based,D2 Send,,,,,,,session,D2
reverb,D3 Send,0,127,,111,,,0-based,D3 Send,,,,,,,session,D3
reverb,D4 Send,0,127,,111,,,0-based,D4 Send,,,,,,,session,D4
reverb,type,0,127,,111,,,0-based,type,,,,,0: Chamber; 1: Small Room; 2: Large Room; 3: Small Hall; 4: Large Hall; 5: Great Hall,,session,
reverb,decay,0,127,,111,,,0-based,decay,,,,,,,session,
reverb,damping,0,127,,111,,,0-based,damping,,,,,,,session,
delay,S1 Send,0,127,,111,,,0-based,S1 Send,,,,,,,session,S1
delay,S2 Send,0,127,,111,,,0-based,S2 Send,,,,,,,session,S2
delay,D1 Send,0,127,,111,,,0-based,D1 Send,,,,,,,session,D1
delay,D2 Send,0,127,,111,,,0-based,D2 Send,,,,,,,session,D2
delay,D3 Send,0,127,,111,,,0-based,D3 Send,,,,,,,session,D3
delay,D4 Send,0,127,,111,,,0-based,D4 Send,,,,,,,session,D4
delay,time,0,127,,111,,,0-based,time,,,,,,,session,
delay,time sync,0,127,,111,,,0-based,time sync,,,,,,,session,
delay,feedback,0,127,,111,,,0-based,feedback,,,,,,,session,
delay,width,0,127,,111,,,0-based,width,,,,,,,session,
delay,left-right ratio,0,127,,111,,,0-based,left-right ratio,,,,,0: 1/1; 1: 4/3; 2: 3/4; 3: 3/2; 4: 2/3; 5: 2/1; 6: 1/2; 7: 3/1; 8: 1/3; 9: 4/1; 10: 1/4; 11: 1/OFF; 12: OFF/1,,session,
delay,slew rate,0,127,,111,,,0-based,slew rate,,,,,,,session,
filter,frequency,0,127,,74,,,Centered,frequency,,,,,,,session,
filter,resonance,0,127,,71,,,0-based,resonance,,,,,,,session,
sidechain,S1 source,0,4,,,2,55,0-based,S1 source,,,,,,,session,S1
sidechain,S1 attack,0,127,,,2,56,0-based,S1 attack,,,,,,,session,S1
sidechain,S1 hold,0,127,,,2,57,0-based,S1 hold,,,,,,,session,S1
sidechain,S1 decay,0,127,,,2,58,0-based,S1 decay,,,,,,,session,S1
sidechain,S1 depth,0,127,,,2,59,0-based,S1 depth,,,,,,,session,S1
sidechain,S2 source,0,4,,,2,65,0-based,S2 source,,,,,,,session,S2
sidechain,S2 attack,0,127,,,2,66,0-based,S2 attack,,,,,,,session,S2
sidechain,S2 hold,0,127,,,2,67,0-based,S2 hold,,,,,,,session,S2
sidechain,S2 decay,0,127,,,2,68,0-based,S2 decay,,,,,,,session,S2
sidechain,S2 depth,0,127,,,1,69,0-based,S2 depth,,,,,,,session,S2
mixer,S1 level,0,127,,12,,,0-based,S1 level,,,,,,,session,
mixer,S1 level,0,127,,14,,,0-based,S1 level,,,,,,,session,